163793,A1,"[201,notepad.exe,Q2.txt,4,4,1,4]",1
163793,A5,"[201,notepad.exe,Q2.txt]",1
163793,A7,"[201#notepad.exe,100#explorer.exe,200#notepad.exe,300#calc.exe]",1
177419,M,"[2,3]",1
178757,M,"[2,2]",1
180163,M,"[1,2]",1
180503,K3,"[1,1,2]",1
180869,A7,"[300#calc.exe,201#notepad.exe,100#explorer.exe,200#notepad.exe]",1
180869,A6,"[300,calc.exe,4,4,1,4]",1
180869,A3,"[300,calc.exe]",1
181873,K1,[NUM],1
182879,K1,[NUM],1
183763,K1,[NUM],1
184743,K1,[NUM],1
185509,K1,[NUM],1
186255,K1,[NUM],1
187197,K1,[NUM],1
188112,K1,[NUM],1
188993,K1,[NUM],1
189934,K1,[NUM],1
190952,K1,[NUM],1
192247,M,"[2,2]",1
193455,M,"[2,3]",1
194752,M,"[3,3]",1
196156,M,"[4,3]",1
197541,M,"[4,4]",1
197881,K3,"[1,4,4]",1
198624,A7,"[201#notepad.exe,100#explorer.exe,200#notepad.exe]",1
198624,A2,"[300,calc.exe,Calculator]",1
199554,K1,[56],1
200451,K1,[15],1
200786,A7,"[100#explorer.exe,201#notepad.exe,200#notepad.exe]",1
202146,M,"[3,4]",1
203609,M,"[3,3]",1
204831,M,"[3,2]",1
206167,M,"[2,2]",1
207544,M,"[1,2]",1
208484,K1,[14],1
208484,A8,"[100,documents/2017,documents/]",1
209705,M,"[2,2]",1
210061,K3,"[1,2,2]",1
210217,K3,"[1,2,2]",1
210217,A8,"[100,documents/,documents/summary]",1
211468,M,"[3,2]",1
212639,M,"[3,3]",1
212978,K3,"[1,3,3]",1
213132,K3,"[1,3,3]",1
213641,A1,"[202,notepad.exe,summary.txt,4,4,1,4]",1
213641,A5,"[202,notepad.exe,summary.txt]",1
213641,A7,"[202#notepad.exe,100#explorer.exe,201#notepad.exe,200#notepad.exe]",1
240382,K1,[TEXT],1
241428,K1,[TEXT],1
242291,K1,[TEXT],1
243099,K1,[TEXT],1
244123,K1,[TEXT],1
245146,K1,[TEXT],1
246244,K1,[TEXT],1
247172,K1,[TEXT],1
247907,K1,[TEXT],1
248657,K1,[TEXT],1
249359,K1,[NUM],1
250377,K1,[NUM],1
251247,K1,[NUM],1
252083,K1,[NUM],1
253053,K1,[NUM],1
253933,K1,[TEXT],1
254877,K1,[TEXT],1
255633,K1,[TEXT],1
256502,K1,[TEXT],1
257285,K1,[TEXT],1
258215,K1,[TEXT],1
259163,K1,[TEXT],1
259974,K1,[TEXT],1
260803,K1,[TEXT],1
261697,K1,[NUM],1
262640,K1,[NUM],1
263523,K1,[NUM],1
264555,K1,[NUM],1
265617,K1,[NUM],1
266579,K1,[29],1
267466,K1,[TEXT],1
268257,K1,[56],1
269063,K1,[62],1
269434,A7,"[100#explorer.exe,201#notepad.exe,200#notepad.exe]",1
269434,A2,"[202,notepad.exe,summary.txt]",1
