49148,"mouse to 2,3",2
50457,"mouse to 1,3",2
51751,"mouse to 1,2",2
52092,mouse click,2
52532,explorer maximize,2
53439,key 14,2
53439,explorer path to documents/,2
54616,"mouse to 2,2",2
54991,mouse click,2
55950,key 28,2
55950,explorer path to documents/2017,2
57179,"mouse to 2,3",2
58480,"mouse to 3,3",2
58936,mouse doubleclick,2
59281,notepad open,2
73883,"mouse to 3,4",2
75349,"mouse to 4,4",2
75651,mouse click,2
76200,notepad minimize,2
77450,"mouse to 4,3",2
78753,"mouse to 4,2",2
80114,"mouse to 3,2",2
81478,"mouse to 2,2",2
82690,"mouse to 1,2",2
83006,mouse click,2
83357,explorer maximize,2
84624,"mouse to 1,3",2
85704,"mouse to 2,3",2
87071,"mouse to 3,3",2
87502,mouse doubleclick,2
87983,notebook open,2
101862,"mouse to 4,3",2
103127,"mouse to 4,4",2
103468,mouse click,2
103913,notebook minimize,2
105090,"mouse to 4,3",2
106386,"mouse to 3,3",2
107577,"mouse to 2,3",2
108898,"mouse to 2,2",2
110205,"mouse to 1,2",2
110568,mouse click,2
110797,explorer maximize,2
111824,key 14,2
111824,explorer path to documents/,2
113041,"mouse to 2,2",2
113382,mouse click,2
114255,key 28,2
114255,explorer path to documents/summary,2
115651,"mouse to 2,3",2
117001,"mouse to 3,3",2
117448,mouse doubleclick,2
117781,notepad open,2
133190,"mouse to 4,3",2
134501,"mouse to 4,4",2
134882,mouse click,2
135366,notepad minimize,2
136432,key 3675,2
137163,key TEXT,2
137860,key TEXT,2
138785,key TEXT,2
139587,key TEXT,2
140555,key 28,2
140963,calculator open,2
141170,calculator minimize,2
142494,"mouse to 3,4",2
143810,"mouse to 3,3",2
145215,"mouse to 2,3",2
146693,"mouse to 2,2",2
147946,"mouse to 1,2",2
148332,mouse click,2
148740,notepad maximize,2
175429,mouse click,2
175740,calculator maximize,2
176120,mouse click,2
176458,mouse click,2
176813,mouse click,2
177202,mouse click,2
177494,mouse click,2
177855,mouse click,2
178215,mouse click,2
178531,mouse click,2
178865,mouse click,2
179213,mouse click,2
179562,mouse click,2
179958,mouse click,2
180283,mouse click,2
181510,"mouse to 1,3",2
182926,"mouse to 2,3",2
184162,"mouse to 3,3",2
185550,"mouse to 3,4",2
186835,"mouse to 4,4",2
187183,mouse click,2
187352,calculator minimize,2
199988,key TEXT,2
200777,key TEXT,2
201806,key TEXT,2
202730,key TEXT,2
